,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
156,"Mr. Brightside","The Killers",776307,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
157,Loverboy,A-Wall,776143,https://open.spotify.com/track/0qXP5fMhxGzxALOkXYUxfP
158,Run,OneRepublic,776105,https://open.spotify.com/track/6KL88T4Ma4ABXqzgUoEwkd
159,Riptide,"Vance Joy",775036,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
160,"ALMAS GEMELAS","Myke Towers",772938,https://open.spotify.com/track/2KcNrONbZ0hvBPjvrDO2tx
161,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",765778,https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL
162,"Obsessed With You","Central Cee",763546,https://open.spotify.com/track/4PYfFHKfjYz6dwAtZhBy1z
163,"Botella Tras Botella","Gera MX",763299,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
164,"Heartbreak Anthem (with David Guetta & Little Mix)",Galantis,760723,https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP
165,"Butter (feat. Megan Thee Stallion)",BTS,758947,https://open.spotify.com/track/3JR0ducCexKbeK47g6AHm5
166,"Every Breath You Take","The Police",755492,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
167,"All of Me","John Legend",752591,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
168,"Jocelyn Flores",XXXTENTACION,748322,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
169,"Wildest Dreams","Taylor Swift",748059,https://open.spotify.com/track/3fVnlF4pGqWI9flVENcT28
170,"7 rings","Ariana Grande",747534,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
171,"bad guy","Billie Eilish",744921,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
172,"Ranjha (From ""Shershaah"")","Jasleen Royal",744731,https://open.spotify.com/track/72zHuDxFQTjbL51qJQSA7j
173,"Adore You","Harry Styles",744101,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
174,"Quer Voar",Matuê,743844,https://open.spotify.com/track/7aZusA4cWXz3Wv9e9uhavz
175,"Goosebumps - Remix","Travis Scott",740967,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
176,"Dreams - 2004 Remaster","Fleetwood Mac",734763,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
177,"Wake Me Up",Avicii,733820,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2
178,"Wants and Needs (feat. Lil Baby)",Drake,733745,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
179,"Motley Crew","Post Malone",732729,https://open.spotify.com/track/40uMIn2zJLAQhNXghRjBed
180,"Blank Space","Taylor Swift",732383,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g
181,2/Catorce,"Rauw Alejandro",731133,https://open.spotify.com/track/0PwFN7vRvY80Hnkoew2x3f
